event_key,weather_date,yes_buy_fill_count,yes_bucket_count,yes_asset_count,yes_buy_shares,yes_buy_usd,minimum_yes_buy_price,maximum_yes_buy_price,usd_weighted_average_yes_buy_price,median_yes_buy_price,dominant_yes_bucket,dominant_yes_bucket_weighted_price,highest_price_yes_bucket,cheapest_price_yes_bucket,entry_timeline_status,pnl_status,strict_pnl_available,strict_pnl
2026-03-21__beijing__high,2026-03-21,3,1,1,517.98,8.20288,0.0108452683,0.0198859229,0.0169888491,0.015,16°C,0.0169888491,16°C,16°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,-5.27252
2026-03-22__beijing__high,2026-03-22,1,1,1,100.0,14.0,0.14,0.14,0.14,0.14,23°C,0.14,23°C,23°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,58.114324
2026-03-23__beijing__high,2026-03-23,9,1,1,100.33,13.232,0.1106884543,0.15,0.1340209109,0.15,20°C,0.1340209109,20°C,20°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-03-24__beijing__high,2026-03-24,12,2,2,241.001956,28.410661,0.05,0.3300000059,0.1988743825,0.1,20°C,0.2525738155,20°C,20°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-01__beijing__high,2026-04-01,2,2,2,211.2222,25.14832,0.0343063182,0.21,0.1810185963,0.1221531591,19°C,0.21,19°C,20°C,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-03__beijing__high,2026-04-03,9,2,2,131.606933,15.568509,0.05,0.1500000209,0.1273699251,0.15,22°C,0.1500000007,22°C,25°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-04__beijing__high,2026-04-04,1,1,1,80.33488,11.4387,0.13,0.13,0.13,0.13,20°C,0.13,20°C,20°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,STRICT_CLOSED_SETTLED,true,-10.941112
2026-04-05__beijing__high,2026-04-05,2,2,2,112.87376,17.95754,0.1275087833,0.2,0.1522382949,0.1637543916,21°C,0.1275087833,20°C,21°C,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,STRICT_CLOSED_SETTLED,true,86.708574
2026-04-06__beijing__high,2026-04-06,1,1,1,87.24886,20.8186,0.22,0.22,0.22,0.22,19°C,0.22,19°C,19°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,STRICT_CLOSED_SETTLED,true,-20.006668
2026-04-07__beijing__high,2026-04-07,9,4,4,281.084,21.47993,0.02,0.2,0.1263519184,0.07,15°C,0.2,15°C,14°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-08__beijing__high,2026-04-08,9,4,4,450.93782,29.8933,0.017,0.23,0.120115567,0.031,19°C,0.0616120543,21°C,18°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-10__beijing__high,2026-04-10,11,4,4,433.30277,37.255545,0.02,0.224,0.106544504,0.1,28°C,0.0987644768,30°C or higher,29°C,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-11__beijing__high,2026-04-11,5,1,1,50.0,10.0,0.2,0.2,0.2,0.2,25°C,0.2,25°C,25°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-12__beijing__high,2026-04-12,14,4,4,759.55974,16.607064,0.002,0.177,0.0927261558,0.002,25°C,0.177,25°C,28°C,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-13__beijing__high,2026-04-13,0,0,0,0,0,,,,,,,,,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,STRICT_CLOSED_SETTLED,true,-4.027392
2026-04-17__beijing__high,2026-04-17,33,2,2,866.20888,52.056088,0.002,0.3,0.2126520302,0.3,23°C,0.2284379203,23°C,24°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,-81.941662
2026-04-18__beijing__high,2026-04-18,7,1,1,199.702566,12.991077,0.03,0.1,0.0838831385,0.03,25°C or below,0.0838831385,25°C or below,25°C or below,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,-12.990847
2026-04-19__beijing__high,2026-04-19,1,1,1,78.28048,0.43465,0.005,0.005,0.005,0.005,24°C,0.005,24°C,24°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,STRICT_CLOSED_SETTLED,true,-0.732298
2026-04-20__beijing__high,2026-04-20,17,3,3,1117.8518,15.78222,0.002,0.28,0.1114390802,0.005,25°C,0.0356342426,24°C,25°C,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,STRICT_CLOSED_SETTLED,true,32.981159
2026-04-23__beijing__high,2026-04-23,18,2,2,675.604222,13.975648,0.005,0.140000086,0.077871279,0.14,24°C,0.1400000104,24°C,23°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-25__beijing__high,2026-04-25,2,2,2,227.35,23.5,0.07,0.1,0.0955319149,0.085,29°C,0.1,29°C,26°C,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-27__beijing__high,2026-04-27,22,4,4,725.68116,14.22628,0.0048219178,0.08,0.0505562582,0.007,24°C,0.08,24°C,27°C or higher,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-28__beijing__high,2026-04-28,2,1,1,110.97872,1.07712,0.0080332585,0.038,0.0111202958,0.0230166293,22°C,0.0111202958,22°C,22°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-04-30__beijing__high,2026-04-30,1,1,1,77.42,0.3251,0.004,0.004,0.004,0.004,29°C,0.004,29°C,29°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-02__beijing__high,2026-05-02,4,2,2,263.48,7.9022,0.012873805,0.0456175583,0.0378830273,0.017,26°C,0.0456175583,26°C,25°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-04__beijing__high,2026-05-04,14,1,1,309.859775,15.644491,0.04,0.07,0.0531035262,0.04,27°C,0.0531035262,27°C,27°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-05__beijing__high,2026-05-05,27,5,5,829.67,66.04886,0.0081111111,0.35,0.1745115111,0.04,29°C,0.2171102662,30°C,32°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-06__beijing__high,2026-05-06,12,3,3,288.96,2.37979,0.002,0.022,0.0146436997,0.005,27°C,0.022,27°C,29°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,17.361361
2026-05-07__beijing__high,2026-05-07,2,1,1,638.7,20.87014,0.008,0.107,0.0875345105,0.0575,26°C,0.0875345105,26°C,26°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-08__beijing__high,2026-05-08,1,1,1,154.0,1.82106,0.0112680519,0.0112680519,0.0112680519,0.0112680519,29°C,0.0112680519,29°C,29°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-11__beijing__high,2026-05-11,4,2,2,935.34,11.52155,0.004,0.0149493,0.0126129892,0.0118431711,29°C,0.0136863421,28°C or below,28°C or below,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-12__beijing__high,2026-05-12,1,1,1,148.73,1.87292,0.012,0.012,0.012,0.012,30°C,0.012,30°C,30°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,-0.134294
2026-05-14__beijing__high,2026-05-14,4,2,2,393.17,37.47944,0.0331652138,0.46,0.3073900635,0.099,33°C or below,0.46,33°C or below,35°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,20.815665
2026-05-21__beijing__high,2026-05-21,21,2,2,1492.410562,56.014663,0.006,0.215,0.081752594,0.006,31°C,0.1011593527,31°C,31°C,ENTRY_TIMELINE_COMPLETE,STRICT_CLOSED_SETTLED,true,19.264678
2026-05-22__beijing__high,2026-05-22,1,1,1,329.68,6.56057,0.0189693642,0.0189693642,0.0189693642,0.0189693642,23°C,0.0189693642,23°C,23°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-05-23__beijing__high,2026-05-23,4,1,1,484.9523,12.990265,0.01,0.05,0.040791104,0.05,27°C,0.040791104,27°C,27°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-03__beijing__high,2026-06-03,1,1,1,55.0,3.4551,0.06,0.06,0.06,0.06,31°C,0.06,31°C,31°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-12__beijing__high,2026-06-12,18,5,5,1142.797041,72.900985,0.015,0.1157855,0.0830980284,0.015,32°C,0.1157855,32°C,31°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-15__beijing__high,2026-06-15,7,4,4,666.2,72.97331,0.006,0.1792608089,0.1444034286,0.08,28°C,0.1792608089,28°C,26°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-16__beijing__high,2026-06-16,1,1,1,297.8,3.26118,0.0104346206,0.0104346206,0.0104346206,0.0104346206,23°C,0.0104346206,23°C,23°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-24__beijing__high,2026-06-24,1,1,1,267.0,5.60166,0.02,0.02,0.02,0.02,27°C or below,0.02,27°C or below,27°C or below,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-28__beijing__high,2026-06-28,35,3,3,1440.69,16.96679,0.006,0.043639842,0.0177889934,0.006,35°C,0.0216626835,35°C,27°C or below,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-29__beijing__high,2026-06-29,15,3,3,601.6214,73.926697,0.005,0.2754431072,0.1977990527,0.005,28°C,0.2407686471,28°C,29°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-06-30__beijing__high,2026-06-30,2,2,2,222.7,38.38742,0.1087717503,0.21,0.1807276694,0.1593858751,26°C,0.21,26°C,25°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-07-04__beijing__high,2026-07-04,8,3,3,572.2408,15.615026,0.009,0.088,0.0514592707,0.02,34°C,0.0792099723,34°C,31°C or below,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-07-06__beijing__high,2026-07-06,5,1,1,69.121474,1.451551,0.021,0.0210000117,0.0210000007,0.0210000006,30°C,0.0210000007,30°C,30°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-07-10__beijing__high,2026-07-10,7,3,3,501.0,79.0534,0.021,0.2535,0.2059236555,0.17,28°C,0.2461140273,28°C,29°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-07-11__beijing__high,2026-07-11,3,2,2,1001.54,19.73207,0.003857507,0.12,0.0951726969,0.02,31°C,0.0991303641,31°C,31°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-07-20__beijing__high,2026-07-20,3,3,3,565.91,45.86149,0.03,0.1992307692,0.1317740009,0.1390862103,29°C,0.1390862103,30°C,28°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
2026-07-23__beijing__high,2026-07-23,8,3,3,809.64,22.61898,0.0033612765,0.269,0.1084617451,0.0586320423,29°C,0.1469095328,29°C,31°C,ENTRY_TIMELINE_COMPLETE,RESOLVED_REDEEMABLE_UNREDEEMED,false,
