threshold_decimal_inclusive,threshold_cents_inclusive,buy_yes_fill_count,buy_yes_usd,yes_buy_usd_share,weather_event_count,temperature_asset_count,max_single_fill_buy_usd,max_single_event_buy_usd,first_trade_date_cst,last_trade_date_cst
0.1,10.0,128,721.663414,0.645903552,30,42,33.45112,75.9034,2026-03-21,2026-07-23
0.15,15.0,66,451.086957,0.4037320753,22,25,33.45112,75.9034,2026-03-23,2026-07-23
0.2,20.0,47,323.029428,0.2891179612,17,18,29.66757,42.84473,2026-03-24,2026-07-23
0.25,25.0,29,127.00498,0.1136720611,8,8,26.29618,30.0,2026-03-24,2026-07-23
0.3,30.0,25,75.94767,0.0679747218,4,4,23.621,30.0,2026-03-24,2026-05-13
0.35,35.0,5,32.749,0.0293110265,2,2,23.621,23.621,2026-05-05,2026-05-13
0.4,40.0,1,23.621,0.0211412793,1,1,23.621,23.621,2026-05-13,2026-05-13
0.45,45.0,1,23.621,0.0211412793,1,1,23.621,23.621,2026-05-13,2026-05-13
0.5,50.0,0,0,0.0,0,0,0,0,,
0.55,55.0,0,0,0.0,0,0,0,0,,
0.6,60.0,0,0,0.0,0,0,0,0,,
0.7,70.0,0,0,0.0,0,0,0,0,,
0.8,80.0,0,0,0.0,0,0,0,0,,
